,Company_name,Symbol,Sector,Shares_outstanding,Market_price,Percent_change,Last_traded,52_weeks_low_high,180_day_average,120_day_average,1_year_yield,EPS,PE_ratio,Book_value,PBV,30_day_avg_volume,Market_capitalization,Sektor,Listed_shares,Paidup_value,Total_paidup_value
202,United IDI Mardi RB Hydropower Limited.,UMRH,Hydro_Power,4200000,500,1.21,7/20/2021 12:45,579.00-204.00,348.14,404.43,0,5.69,87.87,93.5,5.35,8845,2100000000,Hydro Power,4200000,100,420000000
203,Union Hydropower Limited,UNHPL,Hydro_Power,7500000,392,5.09,7/20/2021 12:45,435.00-49.20,202.83,244.69,631.37,1.59,246.54,90.1,4.35,51832,2940000000,Hydro Power,7500000,100,750000000
204,Unilever Nepal Limited,UNL,Manufacturing_And_Processing,921000,20300,3.57,7/20/2021 12:45,"21,650.00-17,453.00",19724.22,19800.36,4.26,465.58,43.6,2664.82,7.62,50,18696300000,Manufacturing And Processing,921000,100,92100000
205,UNIVERSAL POWER COMPANY LTD,UPCL,Hydro_Power,21003500,319,1.59,7/20/2021 12:47,370.00-69.00,208.61,242.17,348.57,1.17,272.65,105.68,3.02,112149,6700116500,Hydro Power,21003500,100,2100350000
206,Upper Tamakoshi Hydropower Ltd,UPPER,Hydro_Power,105900000,693.3,0.77,7/20/2021 12:47,908.00-219.00,710.37,796.12,185.48,0.44,-1575.68,92.2,7.52,216747,73420470000,Hydro Power,105900000,100,10590000000
207,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,USLB,Microfinance,1761697.1,2297,0,7/20/2021 12:47,"2,761.00-752.00",2263.84,2340.07,0,52.91,43.41,164.77,13.94,1414,4046618239,Microfinance,1761697.1,100,176169710
208,Vijaya laghubitta Bittiya Sanstha Ltd.,VLBS,Microfinance,2665974.9,1859,0.21,7/20/2021 12:47,"1,925.00-869.00",1671.37,1769.48,81.87,53.43,34.79,160.91,11.55,3778,4956047339,Microfinance,2665974.9,100,266597490
209,Womi Microfinance Bittiya Sanstha Ltd.,WOMI,Microfinance,4119440,1690,-0.06,7/20/2021 12:47,"1,824.00-745.00",1599.78,1600.87,59.53,35.11,48.13,159.46,10.6,5548,6961853600,Microfinance,4119440,0,0
210,Laxmi unnati Kosh,LUK,Mutual_Fund,,14.25,10.04,7/20/2021 12:47,12.95-8.71,10.75,11.19,0,0,0,0,14.25,410966,0,Mutual Fund,0,10,0
211,Laxmi Equity Fund,LEMF,Mutual_Fund,,15.82,8.43,7/20/2021 12:47,14.59-8.32,11.73,12.37,66.36,0,0,0,15.82,1088498,0,Mutual Fund,0,10,0
212,Global IME Samunnat Scheme-1,GIMES1,Mutual_Fund,,22,8.43,7/20/2021 12:47,20.73-8.24,16.43,17.65,138.15,0,0,0,22,630228,0,Mutual Fund,0,10,0
213,NIC Asia Growth Fund,NICGF,Mutual_Fund,,16.79,6.27,7/20/2021 12:47,15.80-9.26,12.98,13.62,58,0,0,0,16.79,595923,0,Mutual Fund,0,10,0
